StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,Preference_1,Preference_2,Preference_3,Difficulty_1,Difficulty_2,Difficulty_3,Understandability_1,Understandability_2,Understandability_3,Helpfulness_1,Helpfulness_2,Helpfulness_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Subject ID,Click to write the question text - Noas,Click to write the question text - Filtas,Click to write the question text - Coras,Click to write the question text - Noas,Click to write the question text - Filtas,Click to write the question text - Coras,Click to write the question text - Noas,Click to write the question text - Filtas,Click to write the question text - Coras,Click to write the question text - Noas,Click to write the question text - Filtas,Click to write the question text - Coras
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}"
2020-02-21 17:25:35,2020-02-21 17:29:32,IP Address,131.193.149.251,100,236,True,2020-02-21 17:29:32,R_C2Hh4AOcWKUZNKN,,,,,41.8782958984375,-87.69069671630859375,anonymous,EN,001,1,0,2,1,2,0,2,0,1,0,0,2
2020-02-24 13:49:02,2020-02-24 13:49:27,Survey Preview,,100,24,True,2020-02-24 13:49:27,R_2DNd39jSldneeAL,,,,,41.8972015380859375,-87.619598388671875,preview,EN,000,0,2,1,0,2,0,0,0,0,0,0,0
2020-02-26 20:50:19,2020-02-26 20:51:50,IP Address,165.124.171.129,100,90,True,2020-02-26 20:51:50,R_3gy9dCsRbXBYC2d,,,,,42.0597991943359375,-87.68419647216796875,anonymous,EN,deepak,0,1,2,0,1,2,1,0,2,0,1,2
2020-02-27 08:42:39,2020-02-27 13:52:30,IP Address,50.234.12.38,100,18590,True,2020-02-27 13:52:30,R_2ri1UBQTJtmvsyM,,,,,41.8972015380859375,-87.619598388671875,anonymous,EN,andrew,0,1,2,1,1,2,1,1,2,0,1,2
2020-02-27 19:12:25,2020-02-27 19:14:16,IP Address,165.124.171.129,100,111,True,2020-02-27 19:14:16,R_2QFHjZENUjbCXay,,,,,42.0597991943359375,-87.68419647216796875,anonymous,EN,mke,1,3,1,3,2,1,3,2,1,3,2,1
2020-02-28 09:32:12,2020-02-28 11:41:18,IP Address,165.124.171.129,100,7745,True,2020-02-28 11:41:18,R_1kZJiN0pkEGc1cA,,,,,42.0597991943359375,-87.68419647216796875,anonymous,EN,002,2,1,1,3,2,1,3,2,1,3,2,1
2020-02-28 12:01:36,2020-02-28 15:32:07,IP Address,165.124.171.129,100,12630,True,2020-02-28 15:32:07,R_3s6PtFI5GZU5cfs,,,,,42.0597991943359375,-87.68419647216796875,anonymous,EN,003,3,2,1,3,2,1,3,2,1,3,2,1
2020-02-28 15:47:37,2020-02-28 19:01:54,IP Address,165.124.171.129,100,11656,True,2020-02-28 19:01:54,R_dp5wc6gHVCHxRwR,,,,,42.0597991943359375,-87.68419647216796875,anonymous,EN,004,3,2,1,3,2,1,3,2,1,3,2,1
2020-02-29 07:49:32,2020-02-29 10:11:10,IP Address,165.124.171.129,100,8497,True,2020-02-29 10:11:10,R_d5LgwngzU3P4MXT,,,,,42.0597991943359375,-87.68419647216796875,anonymous,EN,005,3,2,1,3,2,1,1,2,1,3,2,1
